Cod. Art.;Descripción Articulo;P.V.P
KF11793;CAMPANA CON CORTINA DE AIRE PERIMETRAL CENTRAL OMNICRON 4500X2400;22705,3
KF11794;CAMPANA CON CORTINA DE AIRE PERIMETRAL CENTRAL OMNICRON 4500X3000;23764,66
KF11797;CAMPANA CON CORTINA DE AIRE PERIMETRAL CENTRAL OMNICRON 5000X2400;23512,67
KF11798;CAMPANA CON CORTINA DE AIRE PERIMETRAL CENTRAL OMNICRON 5000X3000;25276,59
KF11810;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 2000X1500MM;6129,53
KF11811;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 2000X2000MM;6567,72
KF11812;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 2000X2800MM;7684,38
KF11813;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 2500X1500MM;7279,6
KF11814;CAMPANA REVERSIBLE CENTRAL COMPENSADA  LAMBDA-C 2500X2000MM;7791,04
KF11815;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 2500X2800MM;8948,85
KF11816;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 3000X1500MM;8856,31
KF11817;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 3000X2000MM;9419,15
KF11818;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 3000X2800MM;10769,7
KF11819;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 3500X1500MM;10192,75
KF11820;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 3500X2000MM;10818,53
KF11821;CAMPANA REVERSIBLE CENTRAL  COMPENSADA LAMBDA-C 3500X2800MM;12271,9
KF11822;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 4000X1500MM;11529,14
KF11823;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 4000X2000MM;12219,19
KF11824;CAMPANA  REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 4000X2800MM;13774,06
KF11825;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 5000X1500MM;13829,32
KF11826;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 5000X2000MM;14664,57
KF11827;CAMPANA REVERSIBLE CENTRAL COMPENSADA LAMBDA-C 5000X2800MM;16489,29
KF11831;CAMPANA REVERSIBLE DOBLE COLECTOR  KAPPA 2000X2000MM;4847,07
KF11832;CAMPANA REVERSIBLE  DOBLE COLECTOR KAPPA 2000x2800mm.;6069,12
KF11833;CAMPANA REVERSIBLE DOBLE COLECTOR KAPPA 2500X2000MM;5980,47
KF11834;CAMPANA REVERSIBLE DOBLE COLECTOR KAPPA 2500X2800MM;7471,07
KF11835;CAMPANA REVERSIBLE DOBLE COLECTOR KAPPA 3000X2000MM;7027,74
KF11836;CAMPANA REVERSIBLE DOBLE COLECTOR KAPPA 3000X2800MM;8756,08
KF11837;CAMPANA REVERSIBLE DOBLE COLECTOR KAPPA 3500X2000MM;7902,85
KF11838;CAMPANA REVERSIBLE DOBLE COLECTOR KAPPA 3500X2800MM;9740,4
KF11839;CAMPANA REVERSIBLE DOBLE COLECTOR KAPPA 4000X2000MM;8777,93
KF11840;CAMPANA REVERSIBLE DOBLE COLECTOR KAPPA 4000X2800MM;10678,46
KF11841;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA KAPPA 2000X2000MM;7187,08
KF11842;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA  KAPPA 2000X2800MM;8218,96
KF11843;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA KAPPA 2500X2000MM;8770,22
KF11844;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA KAPPA 2500X2800MM;9949,88
KF11845;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA KAPPA 3000X2000MM;9964,01
KF11846;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA KAPPA 3000X2800MM;11018,99
KF11847;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA KAPPA 3500X2000MM;11225,9
KF11848;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA KAPPA 3500X2800MM;13211,22
KF11849;CAMPANA REVERSIBLE DOBLE COLECTOR COMPENSADA KAPPA 4000X2000MM;12487,76
KF11851;CAMPANA DELTA PARED 1200X1100 INDUCTORA;3754,82
KF11853;CAMPANA DELTA PARED 1500X1100 INDUCTORA;4121,05
KF11855;CAMPANA DELTA PARED 2000X900 INDUCTORA;4992,29
KF11857;CAMPANA DELTA PARED 2500X900 INDUCTORA;5963,76
KF11859;CAMPANA DELTA PARED 3000X750 INDUCTORA;7483,94
KF11861;CAMPANA DELTA PARED 4000X900 INDUCTORA;9227,71
KF11863;CAMPANA DELTA PARED 5000X900 INDUCTORA;11169,36
KF11866;CAMPANA DELTA CENTRAL 1500X2100 INDUCTORA;7629,15
KF11867;CAMPANA DELTA CENTRAL 2000X1400 INDUCTORA;8238,24
KF11868;CAMPANA DELTA CENTRAL 2000X2100 INDUCTORA;9241,84
KF11869;CAMPANA DELTA CENTRAL 2500X1400 INDUCTORA;9897,2
KF11870;CAMPANA DELTA CENTRAL 2500X2100 INDUCTORA;11039,58
KF11871;CAMPANA DELTA CENTRAL 3000X1400 INDUCTORA;12401,7
KF11872;CAMPANA DELTA CENTRAL 3000X2100 INDUCTORA;13855,05
